pais_codigo,pais,ano,valor
IND,India,2019,3.87143694070524
IND,India,2018,6.45385134495295
IND,India,2017,6.79538341902422
IND,India,2016,8.25630550176662
IND,India,2015,7.99625378567987
IND,India,2014,7.41022760516977
IND,India,2013,6.38610640091713
IND,India,2012,5.45638755164772
IND,India,2011,5.24131620024293
IND,India,2010,8.49758470165625
IND,India,2009,7.8618888330338
IND,India,2008,3.08669805950082
IND,India,2007,7.66081506510766
IND,India,2006,8.06073257305057
IND,India,2005,7.92343062131789
IND,India,2004,7.92293661307978
IND,India,2003,7.86038147545045
IND,India,2002,3.80397532120038
IND,India,2001,4.82396626397303
IND,India,2000,3.84099115686554
IND,India,1999,8.84575556114116
IND,India,1998,6.18441582080355
IND,India,1997,4.04982084902483
IND,India,1996,7.54952224888829
IND,India,1995,7.57449184027195
IND,India,1994,6.65892406747307
IND,India,1993,4.7507762195799
IND,India,1992,5.48239602167003
IND,India,1991,1.05683143296179
IND,India,1990,5.53345456306495
IND,India,1989,5.94734332826503
IND,India,1988,9.62778291984834
IND,India,1987,3.96535563390576
IND,India,1986,4.77656417048946
IND,India,1985,5.25429922330889
IND,India,1984,3.8207378559735
IND,India,1983,7.28889290124586
IND,India,1982,3.47573324031237
IND,India,1981,6.00620362381767
IND,India,1980,6.7358215279985
IND,India,1979,-5.2381827027895
IND,India,1978,5.71253208900188
IND,India,1977,7.25476458583569
IND,India,1976,1.66310363661279
JPN,Japan,2025,1.19311288444599
JPN,Japan,2024,-0.240084236041696
JPN,Japan,2023,0.720785304749811
JPN,Japan,2022,1.33164750653741
JPN,Japan,2021,3.56419531474475
JPN,Japan,2020,-4.28327942675573
JPN,Japan,2019,-0.308496921143259
JPN,Japan,2018,0.834143845965585
JPN,Japan,2017,1.62345062245441
JPN,Japan,2016,0.704986495111257
JPN,Japan,2015,1.79997735783475
JPN,Japan,2014,0.905915486065865
JPN,Japan,2013,1.99727653399265
JPN,Japan,2012,1.64893452981225
JPN,Japan,2011,-0.20035785332982
JPN,Japan,2010,4.13645589222239
JPN,Japan,2009,-5.9359411383964
JPN,Japan,2008,-1.16662209355141
JPN,Japan,2007,1.72837912865577
JPN,Japan,2006,1.54630843078741
JPN,Japan,2005,1.8482813374834
JPN,Japan,2004,2.11294823723127
JPN,Japan,2003,1.38010935830795
JPN,Japan,2002,0.0849888050363319
JPN,Japan,2001,0.284608556379041
JPN,Japan,2000,2.97832688768516
JPN,Japan,1999,-0.347600398675738
JPN,Japan,1998,-1.77264091037956
JPN,Japan,1997,1.36297109407448
JPN,Japan,1996,3.07546731409349
JPN,Japan,1995,2.34205546196849
JPN,Japan,1994,0.99306636322622
JPN,Japan,1993,-0.517919847117952
JPN,Japan,1992,0.848069581218368
JPN,Japan,1991,3.41749676183089
JPN,Japan,1990,4.89271306574565
JPN,Japan,1989,4.85803768615389
JPN,Japan,1988,6.78502010955764
