pais_codigo,pais,ano,pib,crescimento,pib_per_capita,pib_anterior,variacao_pib,log_pib
CHN,China,2012,8673664713189.24,7.8578201481217,6405.0574241349,7671757207851.29,0.13059687346630255,29.791312506362353
CHN,China,2013,9743124247267.24,7.77842954757257,7147.03518622344,8673664713189.24,0.12329961664897793,29.907582946755518
CHN,China,2014,10674533168257.4,7.46100735778161,7781.06597484974,9743124247267.24,0.0955965352952779,29.99888194277621
CHN,China,2015,11280814787468.9,6.98162255562367,8175.33285077393,10674533168257.4,0.05679701488158617,30.05412459232143
CHN,China,2016,11456024084962.0,6.7736886867727,8254.86859320357,11280814787468.9,0.015531617245212459,30.06953682853307
CHN,China,2017,12537559062282.9,6.89123916636191,8979.67652709856,11456024084962.0,0.09440753347757025,30.159749980055587
CHN,China,2018,14147765772963.8,6.757806142324,10085.6638148819,12537559062282.9,0.1284306381076148,30.280577831647307
CHN,China,2019,14560167101283.4,6.06737806333672,10342.9009524335,14147765772963.8,0.029149572797401824,30.309310635367726
CHN,China,2020,14996414166715.1,2.33950385203023,10627.4637989619,14560167101283.4,0.029961679862399837,30.3388322329001
CHN,China,2021,18201698719564.0,8.57038414981781,12887.4357242941,14996414166715.1,0.21373673180906838,30.532536041895522
CHN,China,2022,18316765021690.2,3.13385438394069,12970.6056414327,18201698719564.0,0.006321734245744892,30.538837877796663
CHN,China,2023,18270356654533.2,5.41600334492955,12951.1782397043,18316765021690.2,-0.002533655211607755,30.536301007448845
CHN,China,2024,18729668435848.0,4.95830378788091,13293.1162269366,18270356654533.2,0.025139727154742664,30.56112992992396
CHN,China,2025,19498039388042.6,4.95994886240992,13861.970224368,18729668435848.0,0.04102426878651855,30.6013350322404
FRA,France,1976,368363152144.223,4.33755647481964,6792.3099035538,,,26.632335115001055
FRA,France,1977,406401711687.617,3.55415568976466,7458.76424117602,368363152144.223,0.10326374753276357,26.73060794503158
FRA,France,1978,501724418604.651,3.94936216342872,9166.59011961391,406401711687.617,0.23455291691857916,26.941316838977624
FRA,France,1979,608218624730.188,3.69531078677157,11062.5731730373,501724418604.651,0.2122563745685504,27.133800234427465
FRA,France,1980,694529183483.39,1.67641337198611,12565.1639377144,608218624730.188,0.14190712885763768,27.26650001911237
FRA,France,1981,609184791792.396,1.18831474293866,10955.9002996167,694529183483.39,-0.12288092958592733,27.13538749342796
